Cement (component 1)(kg in a m^3 mixture),Cementitious_Ratio (by mass),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Blast_Furnace_Slag_Ratio (by mass),Fly Ash (component 3)(kg in a m^3 mixture),fly_ash_ratio (of total weight),"Fly_Ash_Ratio (of total cementitious materials, by mass)",Water  (component 4)(kg in a m^3 mixture),Water_ratio (total by weight),Water-to-Cementitious_Ratio,Superplasticizer (component 5)(kg in a m^3 mixture),Superplasticizer_Ratio (by mass),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Coarse_Aggregate_Ratio (by mass),Fine Aggregate (component 7)(kg in a m^3 mixture),Sand_Ratio (by mass),Age (day),Total Mass of 1 m^3,"Concrete compressive strength(MPa, megapascals) "
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,7 ,2428.6,55.90 
439.0 ,0.1825 ,177.0 ,0.0736 ,0.0 ,0.0000 ,0.0000 ,186.0 ,0.0773 ,0.4237 ,11.1 ,0.0046 ,884.9 ,0.3678 ,707.9 ,0.2942 ,7 ,2405.9,56.10 
389.9 ,0.1593 ,189.0 ,0.0772 ,0.0 ,0.0000 ,0.0000 ,145.9 ,0.0596 ,0.3742 ,22.0 ,0.0090 ,944.7 ,0.3860 ,755.8 ,0.3088 ,7 ,2447.3,59.09 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,7 ,2428.6,22.90 
337.9 ,0.1401 ,189.0 ,0.0784 ,0.0 ,0.0000 ,0.0000 ,174.9 ,0.0725 ,0.5176 ,9.5 ,0.0039 ,944.7 ,0.3917 ,755.8 ,0.3134 ,7 ,2411.8,35.10 
374.0 ,0.1542 ,189.2 ,0.0780 ,0.0 ,0.0000 ,0.0000 ,170.1 ,0.0701 ,0.4548 ,10.1 ,0.0042 ,926.1 ,0.3817 ,756.7 ,0.3119 ,28 ,2426.2,61.09 
313.3 ,0.1296 ,262.2 ,0.1084 ,0.0 ,0.0000 ,0.0000 ,175.5 ,0.0726 ,0.5602 ,8.6 ,0.0036 ,1046.9 ,0.4329 ,611.8 ,0.2530 ,28 ,2418.3,59.80 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,28 ,2440.5,60.29 
425.0 ,0.1741 ,106.3 ,0.0435 ,0.0 ,0.0000 ,0.0000 ,151.4 ,0.0620 ,0.3562 ,18.6 ,0.0076 ,936.0 ,0.3834 ,803.7 ,0.3293 ,28 ,2441.0,61.80 
375.0 ,0.1522 ,93.8 ,0.0381 ,0.0 ,0.0000 ,0.0000 ,126.6 ,0.0514 ,0.3376 ,23.4 ,0.0095 ,852.1 ,0.3459 ,992.6 ,0.4029 ,28 ,2463.5,56.70 
475.0 ,0.1965 ,118.8 ,0.0491 ,0.0 ,0.0000 ,0.0000 ,181.1 ,0.0749 ,0.3813 ,8.9 ,0.0037 ,852.1 ,0.3525 ,781.5 ,0.3233 ,28 ,2417.4,68.30 
469.0 ,0.1915 ,117.2 ,0.0479 ,0.0 ,0.0000 ,0.0000 ,137.8 ,0.0563 ,0.2938 ,32.2 ,0.0131 ,852.1 ,0.3480 ,840.5 ,0.3432 ,28 ,2448.8,66.90 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,28 ,2440.5,60.29 
388.6 ,0.1597 ,97.1 ,0.0399 ,0.0 ,0.0000 ,0.0000 ,157.9 ,0.0649 ,0.4063 ,12.1 ,0.0050 ,852.1 ,0.3502 ,925.7 ,0.3804 ,28 ,2433.5,50.70 
531.3 ,0.2171 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,141.8 ,0.0579 ,0.2669 ,28.2 ,0.0115 ,852.1 ,0.3482 ,893.7 ,0.3652 ,28 ,2447.1,56.40 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,28 ,2440.5,60.29 
318.8 ,0.1310 ,212.5 ,0.0873 ,0.0 ,0.0000 ,0.0000 ,155.7 ,0.0640 ,0.4884 ,14.3 ,0.0059 ,852.1 ,0.3501 ,880.4 ,0.3617 ,28 ,2433.8,55.50 
401.8 ,0.1637 ,94.7 ,0.0386 ,0.0 ,0.0000 ,0.0000 ,147.4 ,0.0601 ,0.3668 ,11.4 ,0.0046 ,946.8 ,0.3858 ,852.1 ,0.3472 ,28 ,2454.2,68.50 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,28 ,2428.6,71.30 
323.7 ,0.1347 ,282.8 ,0.1177 ,0.0 ,0.0000 ,0.0000 ,183.8 ,0.0765 ,0.5678 ,10.3 ,0.0043 ,942.7 ,0.3923 ,659.9 ,0.2746 ,28 ,2403.2,74.70 
379.5 ,0.1555 ,151.2 ,0.0620 ,0.0 ,0.0000 ,0.0000 ,153.9 ,0.0631 ,0.4055 ,15.9 ,0.0065 ,1134.3 ,0.4649 ,605.0 ,0.2480 ,28 ,2439.8,52.20 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,28 ,2428.6,71.30 
286.3 ,0.1168 ,200.9 ,0.0820 ,0.0 ,0.0000 ,0.0000 ,144.7 ,0.0590 ,0.5054 ,11.2 ,0.0046 ,1004.6 ,0.4098 ,803.7 ,0.3279 ,28 ,2451.4,67.70 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,28 ,2428.6,71.30 
439.0 ,0.1825 ,177.0 ,0.0736 ,0.0 ,0.0000 ,0.0000 ,186.0 ,0.0773 ,0.4237 ,11.1 ,0.0046 ,884.9 ,0.3678 ,707.9 ,0.2942 ,28 ,2405.9,66.00 
389.9 ,0.1593 ,189.0 ,0.0772 ,0.0 ,0.0000 ,0.0000 ,145.9 ,0.0596 ,0.3742 ,22.0 ,0.0090 ,944.7 ,0.3860 ,755.8 ,0.3088 ,28 ,2447.3,74.50 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,28 ,2428.6,71.30 
337.9 ,0.1401 ,189.0 ,0.0784 ,0.0 ,0.0000 ,0.0000 ,174.9 ,0.0725 ,0.5176 ,9.5 ,0.0039 ,944.7 ,0.3917 ,755.8 ,0.3134 ,28 ,2411.8,49.90 
374.0 ,0.1542 ,189.2 ,0.0780 ,0.0 ,0.0000 ,0.0000 ,170.1 ,0.0701 ,0.4548 ,10.1 ,0.0042 ,926.1 ,0.3817 ,756.7 ,0.3119 ,56 ,2426.2,63.40 
313.3 ,0.1296 ,262.2 ,0.1084 ,0.0 ,0.0000 ,0.0000 ,175.5 ,0.0726 ,0.5602 ,8.6 ,0.0036 ,1046.9 ,0.4329 ,611.8 ,0.2530 ,56 ,2418.3,64.90 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,56 ,2440.5,64.30 
425.0 ,0.1741 ,106.3 ,0.0435 ,0.0 ,0.0000 ,0.0000 ,151.4 ,0.0620 ,0.3562 ,18.6 ,0.0076 ,936.0 ,0.3834 ,803.7 ,0.3293 ,56 ,2441.0,64.90 
375.0 ,0.1522 ,93.8 ,0.0381 ,0.0 ,0.0000 ,0.0000 ,126.6 ,0.0514 ,0.3376 ,23.4 ,0.0095 ,852.1 ,0.3459 ,992.6 ,0.4029 ,56 ,2463.5,60.20 
475.0 ,0.1965 ,118.8 ,0.0491 ,0.0 ,0.0000 ,0.0000 ,181.1 ,0.0749 ,0.3813 ,8.9 ,0.0037 ,852.1 ,0.3525 ,781.5 ,0.3233 ,56 ,2417.4,72.30 
469.0 ,0.1915 ,117.2 ,0.0479 ,0.0 ,0.0000 ,0.0000 ,137.8 ,0.0563 ,0.2938 ,32.2 ,0.0131 ,852.1 ,0.3480 ,840.5 ,0.3432 ,56 ,2448.8,69.30 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,56 ,2440.5,64.30 
388.6 ,0.1597 ,97.1 ,0.0399 ,0.0 ,0.0000 ,0.0000 ,157.9 ,0.0649 ,0.4063 ,12.1 ,0.0050 ,852.1 ,0.3502 ,925.7 ,0.3804 ,56 ,2433.5,55.20 
531.3 ,0.2171 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,141.8 ,0.0579 ,0.2669 ,28.2 ,0.0115 ,852.1 ,0.3482 ,893.7 ,0.3652 ,56 ,2447.1,58.80 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,56 ,2440.5,64.30 
318.8 ,0.1310 ,212.5 ,0.0873 ,0.0 ,0.0000 ,0.0000 ,155.7 ,0.0640 ,0.4884 ,14.3 ,0.0059 ,852.1 ,0.3501 ,880.4 ,0.3617 ,56 ,2433.8,66.10 
401.8 ,0.1637 ,94.7 ,0.0386 ,0.0 ,0.0000 ,0.0000 ,147.4 ,0.0601 ,0.3668 ,11.4 ,0.0046 ,946.8 ,0.3858 ,852.1 ,0.3472 ,56 ,2454.2,73.70 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,56 ,2428.6,77.30 
323.7 ,0.1347 ,282.8 ,0.1177 ,0.0 ,0.0000 ,0.0000 ,183.8 ,0.0765 ,0.5678 ,10.3 ,0.0043 ,942.7 ,0.3923 ,659.9 ,0.2746 ,56 ,2403.2,80.20 
379.5 ,0.1555 ,151.2 ,0.0620 ,0.0 ,0.0000 ,0.0000 ,153.9 ,0.0631 ,0.4055 ,15.9 ,0.0065 ,1134.3 ,0.4649 ,605.0 ,0.2480 ,56 ,2439.8,54.90 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,56 ,2428.6,77.30 
286.3 ,0.1168 ,200.9 ,0.0820 ,0.0 ,0.0000 ,0.0000 ,144.7 ,0.0590 ,0.5054 ,11.2 ,0.0046 ,1004.6 ,0.4098 ,803.7 ,0.3279 ,56 ,2451.4,72.99 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,56 ,2428.6,77.30 
439.0 ,0.1825 ,177.0 ,0.0736 ,0.0 ,0.0000 ,0.0000 ,186.0 ,0.0773 ,0.4237 ,11.1 ,0.0046 ,884.9 ,0.3678 ,707.9 ,0.2942 ,56 ,2405.9,71.70 
389.9 ,0.1593 ,189.0 ,0.0772 ,0.0 ,0.0000 ,0.0000 ,145.9 ,0.0596 ,0.3742 ,22.0 ,0.0090 ,944.7 ,0.3860 ,755.8 ,0.3088 ,56 ,2447.3,79.40 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,56 ,2428.6,77.30 
337.9 ,0.1401 ,189.0 ,0.0784 ,0.0 ,0.0000 ,0.0000 ,174.9 ,0.0725 ,0.5176 ,9.5 ,0.0039 ,944.7 ,0.3917 ,755.8 ,0.3134 ,56 ,2411.8,59.89 
374.0 ,0.1542 ,189.2 ,0.0780 ,0.0 ,0.0000 ,0.0000 ,170.1 ,0.0701 ,0.4548 ,10.1 ,0.0042 ,926.1 ,0.3817 ,756.7 ,0.3119 ,91 ,2426.2,64.90 
313.3 ,0.1296 ,262.2 ,0.1084 ,0.0 ,0.0000 ,0.0000 ,175.5 ,0.0726 ,0.5602 ,8.6 ,0.0036 ,1046.9 ,0.4329 ,611.8 ,0.2530 ,91 ,2418.3,66.60 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,91 ,2440.5,65.20 
425.0 ,0.1741 ,106.3 ,0.0435 ,0.0 ,0.0000 ,0.0000 ,151.4 ,0.0620 ,0.3562 ,18.6 ,0.0076 ,936.0 ,0.3834 ,803.7 ,0.3293 ,91 ,2441.0,66.70 
375.0 ,0.1522 ,93.8 ,0.0381 ,0.0 ,0.0000 ,0.0000 ,126.6 ,0.0514 ,0.3376 ,23.4 ,0.0095 ,852.1 ,0.3459 ,992.6 ,0.4029 ,91 ,2463.5,62.50 
475.0 ,0.1965 ,118.8 ,0.0491 ,0.0 ,0.0000 ,0.0000 ,181.1 ,0.0749 ,0.3813 ,8.9 ,0.0037 ,852.1 ,0.3525 ,781.5 ,0.3233 ,91 ,2417.4,74.19 
469.0 ,0.1915 ,117.2 ,0.0479 ,0.0 ,0.0000 ,0.0000 ,137.8 ,0.0563 ,0.2938 ,32.2 ,0.0131 ,852.1 ,0.3480 ,840.5 ,0.3432 ,91 ,2448.8,70.70 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,91 ,2440.5,65.20 
388.6 ,0.1597 ,97.1 ,0.0399 ,0.0 ,0.0000 ,0.0000 ,157.9 ,0.0649 ,0.4063 ,12.1 ,0.0050 ,852.1 ,0.3502 ,925.7 ,0.3804 ,91 ,2433.5,57.60 
531.3 ,0.2171 ,0.0 ,0.0000 ,0.0 ,0.0000 ,0.0000 ,141.8 ,0.0579 ,0.2669 ,28.2 ,0.0115 ,852.1 ,0.3482 ,893.7 ,0.3652 ,91 ,2447.1,59.20 
425.0 ,0.1741 ,106.3 ,0.0436 ,0.0 ,0.0000 ,0.0000 ,153.5 ,0.0629 ,0.3612 ,16.5 ,0.0068 ,852.1 ,0.3491 ,887.1 ,0.3635 ,91 ,2440.5,65.20 
318.8 ,0.1310 ,212.5 ,0.0873 ,0.0 ,0.0000 ,0.0000 ,155.7 ,0.0640 ,0.4884 ,14.3 ,0.0059 ,852.1 ,0.3501 ,880.4 ,0.3617 ,91 ,2433.8,68.10 
401.8 ,0.1637 ,94.7 ,0.0386 ,0.0 ,0.0000 ,0.0000 ,147.4 ,0.0601 ,0.3668 ,11.4 ,0.0046 ,946.8 ,0.3858 ,852.1 ,0.3472 ,91 ,2454.2,75.50 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,91 ,2428.6,79.30 
379.5 ,0.1555 ,151.2 ,0.0620 ,0.0 ,0.0000 ,0.0000 ,153.9 ,0.0631 ,0.4055 ,15.9 ,0.0065 ,1134.3 ,0.4649 ,605.0 ,0.2480 ,91 ,2439.8,56.50 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,91 ,2428.6,79.30 
286.3 ,0.1168 ,200.9 ,0.0820 ,0.0 ,0.0000 ,0.0000 ,144.7 ,0.0590 ,0.5054 ,11.2 ,0.0046 ,1004.6 ,0.4098 ,803.7 ,0.3279 ,91 ,2451.4,76.80 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,91 ,2428.6,79.30 
439.0 ,0.1825 ,177.0 ,0.0736 ,0.0 ,0.0000 ,0.0000 ,186.0 ,0.0773 ,0.4237 ,11.1 ,0.0046 ,884.9 ,0.3678 ,707.9 ,0.2942 ,91 ,2405.9,73.30 
389.9 ,0.1593 ,189.0 ,0.0772 ,0.0 ,0.0000 ,0.0000 ,145.9 ,0.0596 ,0.3742 ,22.0 ,0.0090 ,944.7 ,0.3860 ,755.8 ,0.3088 ,91 ,2447.3,82.60 
362.6 ,0.1493 ,189.0 ,0.0778 ,0.0 ,0.0000 ,0.0000 ,164.9 ,0.0679 ,0.4548 ,11.6 ,0.0048 ,944.7 ,0.3890 ,755.8 ,0.3112 ,91 ,2428.6,79.30 
337.9 ,0.1401 ,189.0 ,0.0784 ,0.0 ,0.0000 ,0.0000 ,174.9 ,0.0725 ,0.5176 ,9.5 ,0.0039 ,944.7 ,0.3917 ,755.8 ,0.3134 ,91 ,2411.8,67.80 
222.4 ,0.1357 ,0.0 ,0.0000 ,96.7 ,0.0411 ,0.3030 ,189.3 ,0.0805 ,0.5933 ,4.5 ,0.0019 ,967.1 ,0.4115 ,870.3 ,0.3703 ,3 ,2350.2,11.58 
222.4 ,0.1357 ,0.0 ,0.0000 ,96.7 ,0.0411 ,0.3030 ,189.3 ,0.0805 ,0.5933 ,4.5 ,0.0019 ,967.1 ,0.4115 ,870.3 ,0.3703 ,14 ,2350.2,24.45 
222.4 ,0.1357 ,0.0 ,0.0000 ,96.7 ,0.0411 ,0.3030 ,189.3 ,0.0805 ,0.5933 ,4.5 ,0.0019 ,967.1 ,0.4115 ,870.3 ,0.3703 ,28 ,2350.2,24.89 
222.4 ,0.1357 ,0.0 ,0.0000 ,96.7 ,0.0411 ,0.3030 ,189.3 ,0.0805 ,0.5933 ,4.5 ,0.0019 ,967.1 ,0.4115 ,870.3 ,0.3703 ,56 ,2350.2,29.45 
222.4 ,0.1357 ,0.0 ,0.0000 ,96.7 ,0.0411 ,0.3030 ,189.3 ,0.0805 ,0.5933 ,4.5 ,0.0019 ,967.1 ,0.4115 ,870.3 ,0.3703 ,100 ,2350.2,40.71 
233.8 ,0.1409 ,0.0 ,0.0000 ,94.6 ,0.0406 ,0.2880 ,197.9 ,0.0849 ,0.6026 ,4.6 ,0.0020 ,947.0 ,0.4064 ,852.2 ,0.3657 ,3 ,2330.0,10.38 
233.8 ,0.1409 ,0.0 ,0.0000 ,94.6 ,0.0406 ,0.2880 ,197.9 ,0.0849 ,0.6026 ,4.6 ,0.0020 ,947.0 ,0.4064 ,852.2 ,0.3657 ,14 ,2330.0,22.14 
233.8 ,0.1409 ,0.0 ,0.0000 ,94.6 ,0.0406 ,0.2880 ,197.9 ,0.0849 ,0.6026 ,4.6 ,0.0020 ,947.0 ,0.4064 ,852.2 ,0.3657 ,28 ,2330.0,22.84 
233.8 ,0.1409 ,0.0 ,0.0000 ,94.6 ,0.0406 ,0.2880 ,197.9 ,0.0849 ,0.6026 ,4.6 ,0.0020 ,947.0 ,0.4064 ,852.2 ,0.3657 ,56 ,2330.0,27.66 
233.8 ,0.1409 ,0.0 ,0.0000 ,94.6 ,0.0406 ,0.2880 ,197.9 ,0.0849 ,0.6026 ,4.6 ,0.0020 ,947.0 ,0.4064 ,852.2 ,0.3657 ,100 ,2330.0,34.56 
194.7 ,0.1240 ,0.0 ,0.0000 ,100.5 ,0.0422 ,0.3405 ,165.6 ,0.0696 ,0.5610 ,7.5 ,0.0031 ,1006.4 ,0.4228 ,905.9 ,0.3805 ,3 ,2380.6,12.45 
194.7 ,0.1240 ,0.0 ,0.0000 ,100.5 ,0.0422 ,0.3405 ,165.6 ,0.0696 ,0.5610 ,7.5 ,0.0031 ,1006.4 ,0.4228 ,905.9 ,0.3805 ,14 ,2380.6,24.99 
194.7 ,0.1240 ,0.0 ,0.0000 ,100.5 ,0.0422 ,0.3405 ,165.6 ,0.0696 ,0.5610 ,7.5 ,0.0031 ,1006.4 ,0.4228 ,905.9 ,0.3805 ,28 ,2380.6,25.72 
194.7 ,0.1240 ,0.0 ,0.0000 ,100.5 ,0.0422 ,0.3405 ,165.6 ,0.0696 ,0.5610 ,7.5 ,0.0031 ,1006.4 ,0.4228 ,905.9 ,0.3805 ,56 ,2380.6,33.96 
194.7 ,0.1240 ,0.0 ,0.0000 ,100.5 ,0.0422 ,0.3405 ,165.6 ,0.0696 ,0.5610 ,7.5 ,0.0031 ,1006.4 ,0.4228 ,905.9 ,0.3805 ,100 ,2380.6,37.34 
190.7 ,0.1328 ,0.0 ,0.0000 ,125.4 ,0.0527 ,0.3967 ,162.1 ,0.0681 ,0.5130 ,7.8 ,0.0033 ,1090.0 ,0.4580 ,804.0 ,0.3378 ,3 ,2380.0,15.04 
190.7 ,0.1328 ,0.0 ,0.0000 ,125.4 ,0.0527 ,0.3967 ,162.1 ,0.0681 ,0.5130 ,7.8 ,0.0033 ,1090.0 ,0.4580 ,804.0 ,0.3378 ,14 ,2380.0,21.06 
190.7 ,0.1328 ,0.0 ,0.0000 ,125.4 ,0.0527 ,0.3967 ,162.1 ,0.0681 ,0.5130 ,7.8 ,0.0033 ,1090.0 ,0.4580 ,804.0 ,0.3378 ,28 ,2380.0,26.40 
190.7 ,0.1328 ,0.0 ,0.0000 ,125.4 ,0.0527 ,0.3967 ,162.1 ,0.0681 ,0.5130 ,7.8 ,0.0033 ,1090.0 ,0.4580 ,804.0 ,0.3378 ,56 ,2380.0,35.34 
190.7 ,0.1328 ,0.0 ,0.0000 ,125.4 ,0.0527 ,0.3967 ,162.1 ,0.0681 ,0.5130 ,7.8 ,0.0033 ,1090.0 ,0.4580 ,804.0 ,0.3378 ,100 ,2380.0,40.57 
212.1 ,0.1416 ,0.0 ,0.0000 ,121.6 ,0.0516 ,0.3645 ,180.3 ,0.0765 ,0.5404 ,5.7 ,0.0024 ,1057.6 ,0.4488 ,779.3 ,0.3307 ,3 ,2356.6,12.47 
212.1 ,0.1416 ,0.0 ,0.0000 ,121.6 ,0.0516 ,0.3645 ,180.3 ,0.0765 ,0.5404 ,5.7 ,0.0024 ,1057.6 ,0.4488 ,779.3 ,0.3307 ,14 ,2356.6,20.92 
212.1 ,0.1416 ,0.0 ,0.0000 ,121.6 ,0.0516 ,0.3645 ,180.3 ,0.0765 ,0.5404 ,5.7 ,0.0024 ,1057.6 ,0.4488 ,779.3 ,0.3307 ,28 ,2356.6,24.90 
212.1 ,0.1416 ,0.0 ,0.0000 ,121.6 ,0.0516 ,0.3645 ,180.3 ,0.0765 ,0.5404 ,5.7 ,0.0024 ,1057.6 ,0.4488 ,779.3 ,0.3307 ,56 ,2356.6,34.20 
212.1 ,0.1416 ,0.0 ,0.0000 ,121.6 ,0.0516 ,0.3645 ,180.3 ,0.0765 ,0.5404 ,5.7 ,0.0024 ,1057.6 ,0.4488 ,779.3 ,0.3307 ,100 ,2356.6,39.61 
230.0 ,0.1491 ,0.0 ,0.0000 ,118.3 ,0.0506 ,0.3397 ,195.5 ,0.0837 ,0.5612 ,4.6 ,0.0020 ,1029.4 ,0.4406 ,758.6 ,0.3247 ,3 ,2336.4,10.03 
230.0 ,0.1491 ,0.0 ,0.0000 ,118.3 ,0.0506 ,0.3397 ,195.5 ,0.0837 ,0.5612 ,4.6 ,0.0020 ,1029.4 ,0.4406 ,758.6 ,0.3247 ,14 ,2336.4,20.08 
230.0 ,0.1491 ,0.0 ,0.0000 ,118.3 ,0.0506 ,0.3397 ,195.5 ,0.0837 ,0.5612 ,4.6 ,0.0020 ,1029.4 ,0.4406 ,758.6 ,0.3247 ,28 ,2336.4,24.48 
230.0 ,0.1491 ,0.0 ,0.0000 ,118.3 ,0.0506 ,0.3397 ,195.5 ,0.0837 ,0.5612 ,4.6 ,0.0020 ,1029.4 ,0.4406 ,758.6 ,0.3247 ,56 ,2336.4,31.54 
230.0 ,0.1491 ,0.0 ,0.0000 ,118.3 ,0.0506 ,0.3397 ,195.5 ,0.0837 ,0.5612 ,4.6 ,0.0020 ,1029.4 ,0.4406 ,758.6 ,0.3247 ,100 ,2336.4,35.34 
190.3 ,0.1327 ,0.0 ,0.0000 ,125.2 ,0.0526 ,0.3967 ,161.9 ,0.0681 ,0.5130 ,9.9 ,0.0042 ,1088.1 ,0.4576 ,802.6 ,0.3375 ,3 ,2377.9,9.45 
190.3 ,0.1327 ,0.0 ,0.0000 ,125.2 ,0.0526 ,0.3967 ,161.9 ,0.0681 ,0.5130 ,9.9 ,0.0042 ,1088.1 ,0.4576 ,802.6 ,0.3375 ,14 ,2377.9,22.72 
190.3 ,0.1327 ,0.0 ,0.0000 ,125.2 ,0.0526 ,0.3967 ,161.9 ,0.0681 ,0.5130 ,9.9 ,0.0042 ,1088.1 ,0.4576 ,802.6 ,0.3375 ,28 ,2377.9,28.47 
190.3 ,0.1327 ,0.0 ,0.0000 ,125.2 ,0.0526 ,0.3967 ,161.9 ,0.0681 ,0.5130 ,9.9 ,0.0042 ,1088.1 ,0.4576 ,802.6 ,0.3375 ,56 ,2377.9,38.56 
190.3 ,0.1327 ,0.0 ,0.0000 ,125.2 ,0.0526 ,0.3967 ,161.9 ,0.0681 ,0.5130 ,9.9 ,0.0042 ,1088.1 ,0.4576 ,802.6 ,0.3375 ,100 ,2377.9,40.39 
166.1 ,0.1402 ,0.0 ,0.0000 ,163.3 ,0.0695 ,0.4957 ,176.5 ,0.0751 ,0.5358 ,4.5 ,0.0019 ,1058.6 ,0.4507 ,780.1 ,0.3321 ,3 ,2349.0,10.76 
166.1 ,0.1402 ,0.0 ,0.0000 ,163.3 ,0.0695 ,0.4957 ,176.5 ,0.0751 ,0.5358 ,4.5 ,0.0019 ,1058.6 ,0.4507 ,780.1 ,0.3321 ,14 ,2349.0,25.48 
166.1 ,0.1402 ,0.0 ,0.0000 ,163.3 ,0.0695 ,0.4957 ,176.5 ,0.0751 ,0.5358 ,4.5 ,0.0019 ,1058.6 ,0.4507 ,780.1 ,0.3321 ,28 ,2349.0,21.54 
166.1 ,0.1402 ,0.0 ,0.0000 ,163.3 ,0.0695 ,0.4957 ,176.5 ,0.0751 ,0.5358 ,4.5 ,0.0019 ,1058.6 ,0.4507 ,780.1 ,0.3321 ,56 ,2349.0,28.63 
166.1 ,0.1402 ,0.0 ,0.0000 ,163.3 ,0.0695 ,0.4957 ,176.5 ,0.0751 ,0.5358 ,4.5 ,0.0019 ,1058.6 ,0.4507 ,780.1 ,0.3321 ,100 ,2349.0,33.54 
168.0 ,0.1418 ,42.1 ,0.0180 ,163.8 ,0.0700 ,0.4938 ,121.8 ,0.0520 ,0.3670 ,5.7 ,0.0024 ,1058.7 ,0.4524 ,780.1 ,0.3334 ,3 ,2340.1,7.75 
